index,ZoneVec_1,ZoneVec_2,ZoneVec_3,ZoneVec_4,ZoneVec_5,ZoneVec_6,ZoneVec_7,ZoneVec_8,ZoneVec_9,ZoneVec_10,ZoneVec_11,ZoneVec_12,ZoneVec_13,ZoneVec_14,ZoneVec_15,ZoneVec_16,ZoneVec_17,ZoneVec_18,ZoneVec_19,ZoneVec_20,ZoneVec_21,ZoneVec_22,ZoneVec_23,ZoneVec_24,ZoneVec_25,ZoneVec_26,ZoneVec_27,ZoneVec_28,ZoneVec_29,ZoneVec_30,ZoneVec_31,ZoneVec_32,ZoneVec_33,ZoneVec_34,ZoneVec_35,ZoneVec_36,ZoneVec_37,ZoneVec_38,ZoneVec_39,ZoneVec_40,ZoneVec_41,ZoneVec_42,ZoneVec_43,ZoneVec_44,ZoneVec_45,ZoneVec_46,ZoneVec_47,ZoneVec_48,ZoneVec_49,ZoneVec_50,ZoneVec_51,ZoneVec_52,ZoneVec_53,ZoneVec_54,ZoneVec_55,ZoneVec_56,ZoneVec_57,ZoneVec_58,ZoneVec_59,ZoneVec_60,ZoneVec_61,ZoneVec_62,ZoneVec_63,ZoneVec_64,ZoneVec_65,ZoneVec_66,ZoneVec_67,ZoneVec_68,ZoneVec_69,ZoneVec_70,ZoneVec_71,ZoneVec_72
10,1.4833714,0.16620652,0.3641332,0.9480949,-0.5886459,0.0013305079,-0.41310665,1.7278947,0.0053944117,0.8706839,-0.35621795,0.761276,-0.39143163,0.76951236,1.4037417,0.46039608,-0.3311628,-0.34066522,0.34399468,2.279253,0.26819426,-1.4622606,0.792679,0.34201846,1.3393503,0.22258617,-0.047443386,-0.9304975,0.59596825,0.86455905,-0.114229016,0.79770714,0.7274737,-0.76563126,0.77869916,-0.052672453,0.72740823,0.6708294,0.13204183,0.24853581,-0.924748,1.5088588,-1.0014791,0.48012125,0.3033435,-0.31145996,1.1370455,0.55383044,0.80891174,0.29261088,-0.016754525,1.2367536,1.2511934,0.4221121,2.022641,0.3923231,0.57974553,1.1248808,1.6651323,0.5184343,-0.6527321,-1.5458691,0.44205537,-0.6725208,-0.45332196,-0.6327825,0.51293385,-0.723299,-1.0656574,0.63091356,-0.34570092,0.41393146
11,0.19134088,-1.3478636,-2.1865263,1.194905,-0.98830116,0.62479794,1.0576773,1.4931644,-0.66774035,0.6681389,0.5224692,1.4999685,0.20090425,0.32901555,0.089322165,-0.8442649,0.13444488,-1.0758514,2.7809074,0.6657042,2.6220195,0.330983,0.36970413,0.35805252,1.1996694,0.934147,-1.3139255,-0.15708427,-0.21705145,1.8077004,0.30825353,0.28097582,-1.8543866,-1.3941164,-1.22655,0.25400177,0.33721504,1.9452343,2.6384485,-1.1554573,-0.6181116,2.8772233,-0.70509285,-0.28542316,0.20923543,-0.7733807,1.9007924,-0.45454383,1.0717639,-3.0017793,-1.4549474,0.46160585,1.226049,1.0194528,0.56693953,4.015301,2.26102,0.8372649,1.2763983,0.6878723,0.7071338,-1.9049783,0.26772735,0.28369004,0.17127077,-0.27963403,1.4271574,-0.013177616,-0.6304168,0.75005054,-0.18219525,-2.9032636
12,0.34996963,-0.61392796,-1.2826915,-0.65399265,0.3746493,1.2758341,0.1424498,-0.81533647,-1.009294,-0.9861488,1.8457302,-0.35664475,-0.3894419,3.1706605,-0.26385516,1.9522039,0.41869816,1.201064,-0.57455844,-0.43040952,3.2517753,2.7033339,1.1649594,-1.3123341,-0.49699166,-0.7719149,2.0027025,-1.8155558,0.93501323,1.432439,0.46902972,1.3412082,-1.8782187,1.3688805,-3.1396694,-0.85029566,-0.79438525,1.4547652,-0.15615198,-0.31762773,-2.0322506,0.54904187,-0.4836041,0.28947744,-0.5976409,-0.83355427,-0.9279733,0.8196437,0.075178996,-0.7388911,-3.0211284,-1.1252924,-0.0859579,0.021374466,0.6886245,1.1824373,-2.1911464,1.053,-0.4297481,0.0054134745,-1.8081822,-0.17169154,2.3237386,-1.4847971,-1.9109755,-1.2143568,-0.27166897,-2.9222429,2.2729433,0.39080077,2.9512258,-1.1439506
13,-0.38398919,0.12959766,-0.19923836,1.628104,0.26959035,0.13855569,1.9463946,1.9806042,-1.7883756,-1.3130075,0.2939962,0.7208908,-1.3706894,2.567998,1.01033,1.8499438,0.5887237,-0.53077865,-0.6274514,2.0232794,-0.41058752,-0.8192819,0.5080462,-0.47175038,2.5016804,-0.15927064,0.043683458,0.26157135,-1.0675625,1.0449355,0.96733296,-0.8000374,0.10880798,1.0059967,0.20082496,-2.4273763,-0.16775145,-0.7576022,1.3998619,1.4611039,2.441511,2.5069525,-1.6112717,-4.4348307,-1.2475076,1.3605162,1.5746956,0.5405367,1.1812828,-0.14065573,0.00811278,1.8528937,-0.48168343,-0.35239142,0.30795315,-0.5547851,0.8212337,-0.57558715,-1.3634714,-0.3103411,0.34687823,0.032218464,-2.5481236,2.410592,-0.2789765,1.44151,-3.4572783,-1.4557921,-1.0355875,2.3106284,2.0465276,-2.7814364
14,0.5639875,0.85931736,-2.1115363,-1.4617654,0.810809,-1.6386222,1.3852656,1.6067166,-0.6850646,-0.14315742,-0.061173417,1.9516249,1.9365374,1.3035619,-0.091651835,2.5974896,2.059368,0.9701481,1.6141698,-0.97612745,-0.74855965,-0.40376857,1.4623584,2.3752377,-2.602535,1.5333189,0.8999236,-0.17849766,0.9515778,0.33467165,-0.22164826,0.8290729,-0.87939507,-0.13141465,-0.047378544,-0.25423074,-1.1207654,1.7130804,-0.76881254,0.89451015,-1.386752,1.9114393,-1.1018853,0.019886075,-0.7266076,1.7743641,-0.029515084,-0.13368255,-1.8655064,-1.1447669,-1.1557246,-0.2533237,-0.20111714,2.0101256,1.2400938,1.321008,0.7682788,0.17563899,1.6404347,0.23643884,-0.3607219,0.7262785,-0.2959675,2.8601308,2.9270074,1.6871397,-1.0460246,0.051733002,0.07564379,0.8356707,-0.6109247,-1.4393734
15,1.1830645,-1.638623,0.57045573,2.0462687,0.24096937,-1.8452301,2.471796,1.528198,1.9940895,-0.023787301,-0.05342022,0.9582133,-0.3143633,-0.17613345,1.3345279,-0.9135087,1.5987362,-0.015275378,-0.38610992,-0.4230882,-0.082836166,-1.6807632,2.0216186,1.6674541,-0.21136822,2.9617822,0.051567893,-2.5277238,-0.39953715,1.8417205,0.07046963,1.0189663,-0.53867245,-0.9343872,0.63683105,0.8844225,-0.056164593,2.3550568,0.75727063,0.4966125,1.1400771,-0.1543735,-2.7263541,-0.7130634,0.14040768,0.91092694,1.5721116,1.9523866,-0.38668275,-1.6052226,-1.4579384,1.9563107,0.3978049,0.4721941,0.12979962,0.611979,1.73296,0.47874445,0.3971872,-2.1183014,-0.177703,1.0226077,2.8496907,0.6628814,0.9974368,0.013441289,0.8229819,-0.8656144,-0.35844788,-1.0852535,-1.2539691,-0.8233697
16,-4.013176,0.75936013,-0.15997747,-2.197215,0.7631817,-1.0028969,0.4537693,1.4468808,-2.0925248,-3.1104183,-1.5393015,-1.3995695,1.4568416,-1.0402118,-3.918123,3.1075978,-1.3227892,3.1195629,0.25589365,-0.4430298,1.4367316,1.9358411,1.6662104,-0.24458218,0.73424345,1.8559561,2.8850148,-1.9175167,-5.814505,3.3118844,0.20962083,0.64928913,-1.9396673,-1.3269119,-1.4749303,-1.0724342,1.432895,2.0235665,0.06454487,-0.89794147,-1.9750566,-3.933901,1.052212,-1.2983695,-0.14279178,2.3988473,-0.29641342,2.363577,-1.7587186,0.21817075,-3.7920597,-1.1135846,1.1477711,0.6147464,0.96083313,0.8903931,-1.416961,-1.1134604,2.1833434,1.6067308,1.7789531,4.665993,-1.1062413,-1.9907602,1.0461918,1.3081464,-0.77679217,-0.0851059,1.3508383,-2.2503462,1.6238191,-0.080244735
17,1.948487,2.0932727,-2.3331852,2.5009706,1.1648781,-1.7314327,-0.3122632,-0.78236884,-1.5308425,-1.3645142,-0.7623696,-2.1363568,-1.9352701,1.4574752,0.44589883,3.5005908,0.37172496,1.0081836,4.1620502,-2.257135,-3.2767744,-2.8853333,-1.3204046,1.4782891,-1.7343127,-1.3129559,1.6794741,-2.1156034,-2.086996,2.6027656,0.54897016,-0.15083681,-1.3097981,-2.1144955,-0.15956701,-1.3002762,-0.9655823,0.5817719,1.3578604,-0.8831403,-1.5530212,-2.9906414,-0.025354085,-2.2233458,0.8013561,-3.146712,-2.283073,0.15772454,-0.74833125,-2.051321,-3.327096,1.1182564,-0.704021,0.40032932,-2.6534834,-1.0686774,-2.939248,-2.8532329,0.4421667,1.4757752,-2.0833201,0.8339843,1.2922151,2.7111857,0.36922878,0.5788361,-0.92256355,-1.2257706,-1.7939372,1.9451207,-1.7311043,-1.5087681
18,-0.9668602,0.35621,-1.8935131,1.6890852,-0.6871867,-0.32332197,-0.010447235,0.8023829,-0.6801784,0.89672077,-0.41192862,0.93334615,-0.7148917,1.3052393,0.36650923,0.8222815,-0.5756493,-0.7082959,2.094848,0.68653,1.3727473,-1.0954603,0.9514557,0.16454482,1.1615875,-0.4167873,-0.22959863,0.039241977,-0.68618846,0.5407798,0.04364487,0.627827,-0.70167154,-1.3997223,0.46775532,0.648664,-0.13623385,0.31633073,0.5450465,-0.22212526,-0.9710665,2.1260433,-1.3660606,-0.7145251,-0.16618913,-0.94732815,2.200575,0.2957436,0.4845338,-1.4581478,-0.6314824,0.40722278,0.94732666,0.8108101,0.94310826,2.3497884,0.9188344,2.2185662,0.9256774,0.5857031,0.07875691,-1.6643567,0.5668599,0.39866662,-0.010784025,-0.47089005,1.4652671,-1.4319868,-1.2005056,0.21405742,-0.7362573,-1.9376662
19,0.57515305,-0.550806,-0.48074052,-0.4091516,-0.6159692,-0.67746794,1.3539239,3.3060336,1.8409172,0.19781949,-0.56731737,-0.13272893,-0.3248226,-0.75466174,-0.620917,-1.0632784,0.72156596,-2.0888708,-1.1083602,0.54928035,2.0543215,-0.54146194,0.32158288,-0.03803171,-0.39083546,1.2351781,0.034993157,0.528511,-1.495297,0.65052074,0.068626896,0.065565504,-0.9402874,1.0536869,1.4572003,0.17384739,-0.21790317,1.6720122,-0.5558057,0.99345064,0.44193897,-0.34896165,-1.406778,-1.4049637,-0.3853949,0.9847809,0.6936455,-0.32449394,-0.07196922,-0.17221071,-1.4036077,-0.0007847726,-0.54028773,-1.721498,-0.09997945,2.6595953,1.8591571,-0.2874913,0.46396464,1.0124158,-2.2412512,-0.10177184,-0.34053922,0.55639225,0.31370217,0.8173235,-0.15936151,0.25795755,-0.4086125,0.9822609,0.6588988,1.17213
